epoch,train_loss,val_loss,lr,nz_ratio
1,2.4257628122965493,0.5113921165466309,0.001,0.08426122727736927
2,1.2403520743052165,0.3025054335594177,0.001,0.08426122727736927
3,1.1701143582661946,0.28845611214637756,0.001,0.08426122727736927
4,1.0037026405334473,0.3948593735694885,0.001,0.08426122727736927
5,1.0345033804575603,0.34962043166160583,0.001,0.08426122727736927
6,1.022171417872111,0.2556503117084503,0.001,0.08426122727736927
7,1.0096062024434407,0.25089359283447266,0.001,0.08426122727736927
8,0.9818657239278158,0.24575158953666687,0.001,0.08426122727736927
9,0.9576834042867025,0.23943108320236206,0.001,0.08426122727736927
10,0.9507323106129965,0.2387750744819641,0.001,0.08426122727736927
11,0.9430223306020101,0.23802253603935242,0.001,0.08426122727736927
12,0.9177629947662354,0.2362544685602188,0.001,0.08426122727736927
13,0.9442402521769205,0.24712057411670685,0.001,0.08426122727736927
14,0.8777029514312744,0.23615148663520813,0.001,0.08426122727736927
15,0.9049785137176514,0.22720199823379517,0.001,0.08426122727736927
16,1.0036689440409343,0.24408194422721863,0.001,0.08426122727736927
17,0.9395917256673177,0.246530219912529,0.001,0.08426122727736927
18,0.9237342675526937,0.2657080888748169,0.001,0.08426122727736927
19,0.9158559640248617,0.2409748136997223,0.001,0.08426122727736927
20,0.9430788358052572,0.23750874400138855,0.001,0.08426122727736927
21,0.8849376837412516,0.23564505577087402,0.001,0.08426122727736927
22,0.8635153770446777,0.24483700096607208,0.001,0.08426122727736927
23,0.9901274840037028,0.24128113687038422,0.001,0.08426122727736927
24,0.9186919530232748,0.22995346784591675,0.001,0.08426122727736927
25,0.8814168771107992,0.23311766982078552,0.001,0.08426122727736927
26,0.944098949432373,0.2487207055091858,0.001,0.08426122727736927
27,0.8724211851755778,0.24205046892166138,0.001,0.08426122727736927
28,0.9027694861094157,0.24824441969394684,0.001,0.08426122727736927
29,0.9706793626149496,0.26118579506874084,0.001,0.08426122727736927
30,0.9462119738260905,0.26424071192741394,0.001,0.08426122727736927
31,0.9064168930053711,0.2426101714372635,0.001,0.08426122727736927
32,0.9199920495351156,0.2379835546016693,0.001,0.08426122727736927
33,0.9425751368204752,0.23664899170398712,0.001,0.08426122727736927
34,0.9445375601450602,0.2350541204214096,0.001,0.08426122727736927
35,0.8934078216552734,0.23581990599632263,0.001,0.08426122727736927
36,0.9512678782145182,0.23992708325386047,0.001,0.08426122727736927
37,0.9182005723317465,0.2314167469739914,0.001,0.08426122727736927
38,0.910335381825765,0.2331232875585556,0.001,0.08426122727736927
39,0.8818133672078451,0.22854351997375488,0.001,0.08426122727736927
40,0.9435675938924154,0.23388175666332245,0.001,0.08426122727736927
41,0.9140690167744955,0.2337457239627838,0.001,0.08426122727736927
42,0.8896867434183756,0.2339242547750473,0.001,0.08426122727736927
43,0.9061970710754395,0.23006033897399902,0.001,0.08426122727736927
44,0.8771931330362955,0.22823554277420044,0.001,0.08426122727736927
45,0.8532897631327311,0.23588867485523224,0.001,0.08426122727736927
46,0.8321685791015625,0.23221921920776367,0.001,0.08426122727736927
47,0.9120606581370035,0.23601360619068146,0.001,0.08426122727736927
48,0.8626008033752441,0.23880353569984436,0.001,0.08426122727736927
49,0.8935521443684896,0.23872606456279755,0.001,0.08426122727736927
50,0.9087201754252116,0.2342803031206131,0.001,0.08426122727736927
51,0.8765256404876709,0.24095866084098816,0.001,0.08426122727736927
52,0.853074868520101,0.22731831669807434,0.001,0.08426122727736927
53,0.8935290972391764,0.2472345381975174,0.001,0.08426122727736927
54,0.8390513261159261,0.26291730999946594,0.001,0.08426122727736927
55,0.8655383586883545,0.2552430033683777,0.001,0.08426122727736927
56,0.8412753740946451,0.2755831182003021,0.001,0.08426122727736927
57,0.8380327224731445,0.23425838351249695,0.001,0.08426122727736927
